[2022-11-28T09:17:22.876Z] INFO  5cb42b3bd454-35/AUTH.JWT: Service 'auth.jwt' started.
[2022-11-28T09:17:22.876Z] INFO  5cb42b3bd454-35/CORE: Service 'core' started.
[2022-11-28T09:17:22.876Z] INFO  5cb42b3bd454-35/WEBACL.CACHE: Service 'webacl.cache' started.
[2022-11-28T09:17:22.876Z] INFO  5cb42b3bd454-35/SIGNATURE: Service 'signature' started.
[2022-11-28T09:17:22.876Z] INFO  5cb42b3bd454-35/TRIPLESTORE.DATASET: Service 'triplestore.dataset' started.
[2022-11-28T09:17:22.880Z] INFO  5cb42b3bd454-35/API: API Gateway listening on http://0.0.0.0:3000
[2022-11-28T09:17:22.882Z] INFO  5cb42b3bd454-35/REGISTRY: 'api' service is registered.
[2022-11-28T09:17:22.882Z] INFO  5cb42b3bd454-35/API: Service 'api' started.
[2022-11-28T09:17:22.897Z] INFO  5cb42b3bd454-35/CACHER: Redis cacher connected.
[2022-11-28T09:17:23.866Z] INFO  5cb42b3bd454-35/ACTIVITYPUB: Service(s) 'api' are available.
[2022-11-28T09:17:23.867Z] INFO  5cb42b3bd454-35/REGISTRY: 'activitypub' service is registered.
[2022-11-28T09:17:23.867Z] INFO  5cb42b3bd454-35/ACTIVITYPUB: Service 'activitypub' started.
[2022-11-28T09:17:23.867Z] INFO  5cb42b3bd454-35/JSONLD: Service(s) 'api' are available.
[2022-11-28T09:17:23.871Z] INFO  5cb42b3bd454-35/WEBACL: Service(s) 'api' are available.
[2022-11-28T09:17:23.871Z] INFO  5cb42b3bd454-35/BROKER: Waiting for service(s) 'triplestore, auth'...
[2022-11-28T09:17:23.873Z] INFO  5cb42b3bd454-35/API: Register route to 'context.json'
[2022-11-28T09:17:23.874Z] INFO  5cb42b3bd454-35/API:      GET /context.json => <Function>
[2022-11-28T09:17:23.875Z] INFO  5cb42b3bd454-35/API: 
[2022-11-28T09:17:23.876Z] INFO  5cb42b3bd454-35/REGISTRY: 'jsonld' service is registered.
[2022-11-28T09:17:23.877Z] INFO  5cb42b3bd454-35/JSONLD: Service 'jsonld' started.
[2022-11-28T09:17:24.871Z] INFO  5cb42b3bd454-35/TRIPLESTORE: Service(s) 'jsonld' are available.
[2022-11-28T09:17:24.881Z] INFO  5cb42b3bd454-35/TRIPLESTORE.DATASET: Dataset localData doesn't exist. Creating it...
[2022-11-28T09:17:24.892Z] INFO  5cb42b3bd454-35/TRIPLESTORE.DATASET: 
[2022-11-28T09:17:25.336Z] INFO  5cb42b3bd454-50/BROKER: Moleculer v0.14.19 is starting...
[2022-11-28T09:17:25.337Z] INFO  5cb42b3bd454-50/BROKER: Namespace: <not defined>
[2022-11-28T09:17:25.337Z] INFO  5cb42b3bd454-50/BROKER: Node ID: 5cb42b3bd454-50
[2022-11-28T09:17:25.338Z] INFO  5cb42b3bd454-50/REGISTRY: Strategy: RoundRobinStrategy
[2022-11-28T09:17:25.339Z] INFO  5cb42b3bd454-50/REGISTRY: Discoverer: LocalDiscoverer
[2022-11-28T09:17:25.339Z] INFO  5cb42b3bd454-50/BROKER: Serializer: JSONSerializer
[2022-11-28T09:17:25.345Z] INFO  5cb42b3bd454-50/BROKER: Validator: FastestValidator
[2022-11-28T09:17:25.347Z] INFO  5cb42b3bd454-50/BROKER: Registered 15 middleware(s).
[2022-11-28T09:17:26.225Z] INFO  5cb42b3bd454-50/API: API Gateway server created.
[2022-11-28T09:17:26.226Z] INFO  5cb42b3bd454-50/API: Register route to '/'
[2022-11-28T09:17:26.236Z] INFO  5cb42b3bd454-50/API: 
[2022-11-28T09:17:26.279Z] INFO  5cb42b3bd454-50/AUTH: Waiting for service(s) 'api, webid'...
[2022-11-28T09:17:26.279Z] INFO  5cb42b3bd454-50/BACKUP: Waiting for service(s) 'triplestore'...
[2022-11-28T09:17:26.279Z] INFO  5cb42b3bd454-50/ACTIVITYPUB.COLLECTION: Waiting for service(s) 'triplestore, ldp.resource'...
[2022-11-28T09:17:26.279Z] INFO  5cb42b3bd454-50/ACTIVITYPUB.REGISTRY: Waiting for service(s) 'triplestore, ldp'...
[2022-11-28T09:17:26.279Z] INFO  5cb42b3bd454-50/ACTIVITYPUB.ACTOR: Waiting for service(s) 'activitypub.collection, ldp, signature'...
[2022-11-28T09:17:26.280Z] INFO  5cb42b3bd454-50/ACTIVITYPUB.OBJECT: Waiting for service(s) 'ldp.resource'...
[2022-11-28T09:17:26.280Z] INFO  5cb42b3bd454-50/ACTIVITYPUB.ACTIVITY: Waiting for service(s) 'ldp.container, ldp'...
[2022-11-28T09:17:26.280Z] INFO  5cb42b3bd454-50/ACTIVITYPUB.FOLLOW: Waiting for service(s) 'activitypub.outbox, activitypub.collection'...
[2022-11-28T09:17:26.280Z] INFO  5cb42b3bd454-50/ACTIVITYPUB.INBOX: Waiting for service(s) 'activitypub.collection, triplestore, activitypub.registry'...
[2022-11-28T09:17:26.280Z] INFO  5cb42b3bd454-50/ACTIVITYPUB.LIKE: Waiting for service(s) 'activitypub.outbox, activitypub.collection'...
[2022-11-28T09:17:26.280Z] INFO  5cb42b3bd454-50/ACTIVITYPUB.REPLY: Waiting for service(s) 'activitypub.outbox, activitypub.collection'...
[2022-11-28T09:17:26.280Z] INFO  5cb42b3bd454-50/ACTIVITYPUB.RELAY: Waiting for service(s) 'triplestore, jsonld, webfinger, activitypub, activitypub.follow, auth.account, ldp.container, ldp.registry'...
[2022-11-28T09:17:26.280Z] INFO  5cb42b3bd454-50/ACTIVITYPUB.OUTBOX: Waiting for service(s) 'activitypub.object, activitypub.collection, activitypub.registry'...
[2022-11-28T09:17:26.280Z] INFO  5cb42b3bd454-50/ACTIVITYPUB.DISPATCH: Waiting for service(s) 'activitypub.collection'...
[2022-11-28T09:17:26.280Z] INFO  5cb42b3bd454-50/ACTIVITYPUB: Waiting for service(s) 'api'...
[2022-11-28T09:17:26.280Z] INFO  5cb42b3bd454-50/JSONLD: Waiting for service(s) 'api'...
[2022-11-28T09:17:26.280Z] INFO  5cb42b3bd454-50/LDP.CONTAINER: Waiting for service(s) 'triplestore, jsonld'...
